Регион,Адрес,Название,Цена,Контактов / мес,"Интенсивность выхода, каждые N мин",Часы работы,Выходов / мес,lat,lon
Можайск,"пгт. Уваровка, Привокзальная площадь, 4а",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.531422,35.610458
Первоуральск,"г. Первоуральск, ул. Гагарина, 1",Верный,7720.0,30000,15,08:00 - 22:00,1568,56.892753,59.950939
Москва,"ул. Коломенская, 9/4",Верный,17980.0,30000,15,08:00 - 22:00,1568,55.679544,37.702328
Кингисепп,"г. Кингисепп, ул. Октябрьская, 19",Верный,8420.0,30000,15,08:00 - 22:00,1568,59.372768,28.613749
Жуковский,"г. Жуковский, ​Больничный городок​, ул. Фрунзе, 1б",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.598558,38.129909
Татарстан Респ,"с. Верхний Услон, ул. Печищинский тракт, 3а",Верный,7290.0,30000,15,08:00 - 22:00,1568,55.768081,48.961758
Коломна,"г. Коломна, пгт. Сергиевский, ул. Ленина, 12",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.096322,38.851498
Верхняя Пышма,"г. Верхняя Пышма, ул. Ленина, 101",Верный,7720.0,30000,15,08:00 - 22:00,1568,56.97495,60.565845
Татарстан Респ,"с. Кирби, ул. Молодёжная, 13г",Верный,7290.0,30000,15,08:00 - 22:00,1568,55.566374,49.318012
Электрогорск,"г. Электрогорск, ул. Советская, 13",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.8784,38.787116
Домодедово,"г. Домодедово, д. Кутузово, ул. Верхняя, 15/1",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.36885,37.894262
Домодедово,"г. Домодедово, д. Чулпаново, 1",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.400067,37.633778
Московская обл,"г. Наро-Фоминск, д. Пожитково, 30",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.421859,36.818898
Московская обл,"г. Раменское, д. Какузево, ул. Светлая, 20",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.512271,38.076881
Московская обл,"г. Чехов, д. Кулаково, 105б",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.089341,37.449147
